region,fecha,año,mes,dia,temp_media_c,temp_max_c,temp_min_c,precipitacion_mm,humedad_pct,viento_kmh,fase_enos
Pacífico Norte,1/1/2020,2020,1,1,26.7,32.5,22,0.5,70,8.1,Neutro
Pacífico Norte,1/2/2020,2020,1,2,27,32.5,21.5,0.2,68,6.7,Neutro
Pacífico Norte,1/3/2020,2020,1,3,27.2,34,21.8,0.1,69,6,Neutro
Pacífico Norte,1/4/2020,2020,1,4,27.4,33.2,22,0,68,7.3,Neutro
Pacífico Norte,1/5/2020,2020,1,5,26.7,31.4,22.5,0.4,70,10.5,Neutro
Pacífico Norte,1/6/2020,2020,1,6,26.7,31.5,23.2,0.5,74,9.2,Neutro
Pacífico Norte,1/7/2020,2020,1,7,26.2,31.1,22.1,0,70,8.5,Neutro
Pacífico Norte,1/8/2020,2020,1,8,26.8,30.7,24.1,0.5,66,11.9,Neutro
Pacífico Norte,1/9/2020,2020,1,9,27.5,31.9,24,0,66,14.7,Neutro
Pacífico Norte,1/10/2020,2020,1,10,28,32.5,24.9,0,60,21.3,Neutro
Pacífico Norte,1/11/2020,2020,1,11,28.3,33.4,24.4,0,63,14.7,Neutro
Pacífico Norte,1/12/2020,2020,1,12,27.9,32.5,23.8,0,64,22.3,Neutro
Pacífico Norte,1/13/2020,2020,1,13,28.2,32.2,25.9,0,58,42.5,Neutro
Pacífico Norte,1/14/2020,2020,1,14,28,32.2,25.8,0,59,33.7,Neutro
Pacífico Norte,1/15/2020,2020,1,15,27.9,31.9,25.1,0,59,28.9,Neutro
Pacífico Norte,1/16/2020,2020,1,16,27.9,33,23.4,0,62,20.1,Neutro
Pacífico Norte,1/17/2020,2020,1,17,28.8,32.5,25.6,0,60,32.4,Neutro
Pacífico Norte,1/18/2020,2020,1,18,28.8,32.4,26.9,0,61,31.6,Neutro
Pacífico Norte,1/19/2020,2020,1,19,28.9,33,25.7,0,61,24.1,Neutro
Pacífico Norte,1/20/2020,2020,1,20,28.2,32.3,24.9,0,63,11.2,Neutro
Pacífico Norte,1/21/2020,2020,1,21,27.5,32.3,23.5,0,63,9.2,Neutro
Pacífico Norte,1/22/2020,2020,1,22,26.6,30.7,23.2,0,61,18.5,Neutro
Pacífico Norte,1/23/2020,2020,1,23,27.9,34,23,0,57,11,Neutro
Pacífico Norte,1/24/2020,2020,1,24,28.3,34.3,23.4,0,60,12.3,Neutro
